"sample","site","moist_grav","temp","CO2","C13","flask_vol","dry_soil","moist_vol","time_accum","tstage","qflag","sec","hour","day","air_vol","air_mol","C_R","order","C_R_r","sd.r","cv.r","sd.acc"
2,"bare_fallow",0.01,5,216.15,NA,125,170,0.018,1773,5,FALSE,13120560,3645,151.875,59.6153846153846,0.00244726336905243,3.73394807449894e-05,11,2.1060056821765e-05,3.67084824406456e-05,0.662874050619766,2.47513728494699e-05
2,"bare_fallow",0.01,35,3596.01,-28.16,125,170,0.018,699,6,FALSE,15897600,4416,184,59.6153846153846,0.00244726336905243,0.000621203544546793,12,0.000888703211082679,0.000607969979256554,0.376603969038812,0.000233947720457301
3,"bare_fallow",0.01,5,514.5,-27.48,125,170,0.018,912,1,FALSE,3283200,912,38,59.6153846153846,0.00244726336905243,8.88788472972336e-05,13,9.74548764224052e-05,3.67084824406456e-05,0.662874050619766,5.89154815223329e-05
3,"bare_fallow",0.01,20,551,-27.08,125,170,0.018,72,2,FALSE,4492800,1248,52,59.6153846153846,0.00244726336905243,9.51841493892628e-05,14,0.00132200207485087,0.000587329205324402,0.675944290336853,6.43391823102423e-05
3,"bare_fallow",0.01,20,702,-28.48,125,170,0.018,432,3,FALSE,6048000,1680,70,59.6153846153846,0.00244726336905243,0.000121269097769986,15,0.000280715504097191,0.000587329205324402,0.675944290336853,8.19711542319239e-05
3,"bare_fallow",0.01,35,847,-26.51,125,170,0.018,71,4,FALSE,6444000,1790,74.5833333333333,59.6153846153846,0.00244726336905243,0.000146317558135582,16,0.00206081067796594,0.000607969979256554,0.376603969038812,5.51037731339273e-05
3,"bare_fallow",0.01,5,237.46,NA,125,170,0.018,1773,5,FALSE,13120980,3645,151.875,59.6153846153846,0.00244726336905243,4.10207406787193e-05,17,2.31363455604734e-05,3.67084824406456e-05,0.662874050619766,2.71915845331257e-05
3,"bare_fallow",0.01,35,4442.22,-28.8,125,170,0.018,699,6,FALSE,15897600,4416,184,59.6153846153846,0.00244726336905243,0.000767384631760383,18,0.00109783209121657,0.000607969979256554,0.376603969038812,0.000289000098100348
4,"bare_fallow",0.03,5,326,-19.11,500,90,0.054,576,1,FALSE,3024000,840,35,465.384615384615,0.0191044430745383,0.000830406458973266,19,0.00144167788016192,0.00064366960128038,0.652455078384122,0.000541802911280084
4,"bare_fallow",0.03,20,117,NA,500,90,0.054,264,2,FALSE,4924800,1368,57,465.384615384615,0.0191044430745383,0.000298029311962798,20,0.00112889890894999,0.000251907727170169,0.222090898166521,6.61895975737682e-05
4,"bare_fallow",0.03,20,102.5,NA,500,90,0.054,188,3,FALSE,5601600,1556,64.8333333333333,465.384615384615,0.0191044430745383,0.000261094055352024,21,0.00138879816676608,0.000251907727170169,0.222090898166521,5.79866132590704e-05
4,"bare_fallow",0.03,35,108.9,NA,500,90,0.054,44,4,FALSE,6019800,1672,69.6666666666667,465.384615384615,0.0191044430745383,0.000277396513442297,22,0.00630446621459765,0.00236508242526976,0.375143960608996,0.00010406362671187
4,"bare_fallow",0.03,5,350.47,NA,500,90,0.054,1680,5,FALSE,12528000,3480,145,465.384615384615,0.0191044430745383,0.000892737888577793,23,0.000531391600343925,0.00064366960128038,0.652455078384122,0.0005824713690685
4,"bare_fallow",0.03,20,254.34,NA,500,90,0.054,732,6,FALSE,15724800,4368,182,465.384615384615,0.0191044430745383,0.000647869873543744,24,0.000885068133256481,0.000251907727170169,0.222090898166521,0.000143886002110361
5,"bare_fallow",0.05,5,322,-24.13,500,90,0.0864,576,1,FALSE,4406400,1224,51,465.384615384615,0.0191044430745383,0.000820217422666846,25,0.00142398858101883,0.00122477658511406,0.490398238903188,0.000402233179593533
5,"bare_fallow",0.05,20,5116,-30.23,500,90,0.0864,264,2,FALSE,6307200,1752,73,465.384615384615,0.0191044430745383,0.0130317774359118,26,0.0493627933178475,0.00241362243852581,0.0470814076150502,0.000613554425408775
5,"bare_fallow",0.05,20,3643,-29.5,500,90,0.0864,188,3,FALSE,6984000,1940,80.8333333333333,465.384615384615,0.0191044430745383,0.00927966481607242,27,0.0493599192344278,0.00241362243852581,0.0470814076150502,0.000436899681736546
5,"bare_fallow",0.05,35,2176,-26.9,500,90,0.0864,44,4,FALSE,7402200,2056,85.6666666666667,465.384615384615,0.0191044430745383,0.00554283575069272,28,0.125973539788471,0.0553864131200736,0.335395433810832,0.00185904180114578
5,"bare_fallow",0.05,5,2437.34,-26.85,500,90,0.0864,1680,5,FALSE,13910400,3864,161,465.384615384615,0.0191044430745383,0.0062085364377727,29,0.00369555740343613,0.00122477658511406,0.490398238903188,0.00304465533525
5,"bare_fallow",0.05,20,14194.11,-27.19,500,90,0.0864,732,6,FALSE,17107200,4752,198,465.384615384615,0.0191044430745383,0.0361560755318314,30,0.0493935458085128,0.00241362243852581,0.0470814076150502,0.0017022789298747
6,"bare_fallow",0.05,5,330,-26.44,500,90,0.0918,576,1,FALSE,4406400,1224,51,465.384615384615,0.0191044430745383,0.000840595495279687,31,0.00145936717930501,0.00122477658511406,0.490398238903188,0.000412226550515111
6,"bare_fallow",0.05,20,5539.5,-29.89,500,90,0.0918,264,2,FALSE,6307200,1752,73,465.384615384615,0.0191044430745383,0.014110541654854,32,0.0534490214199016,0.00241362243852581,0.0470814076150502,0.000664344163321327
6,"bare_fallow",0.05,20,4055.5,-29.63,500,90,0.0918,188,3,FALSE,6984000,1940,80.8333333333333,465.384615384615,0.0191044430745383,0.010330409185172,33,0.0549489850275108,0.00241362243852581,0.0470814076150502,0.000486370205677343
6,"bare_fallow",0.05,35,3529,-27.35,500,90,0.0918,44,4,FALSE,7402200,2056,85.6666666666667,465.384615384615,0.0191044430745383,0.00898927728133944,34,0.204301756394078,0.0553864131200736,0.335395433810832,0.0030149625534207
6,"bare_fallow",0.05,5,2249.76,-26.57,500,90,0.0918,1680,5,FALSE,13910400,3864,161,465.384615384615,0.0191044430745383,0.00573072158018312,35,0.00341114379772805,0.00122477658511406,0.490398238903188,0.00281033577056629
6,"bare_fallow",0.05,20,14677.3,-27.51,500,90,0.0918,732,6,FALSE,17107200,4752,198,465.384615384615,0.0191044430745383,0.0373868856450562,36,0.051074980389421,0.00241362243852581,0.0470814076150502,0.00176022720251216
7,"bare_fallow",0.07,5,515,-24.86,500,90,0.126,576,1,FALSE,3024000,840,35,465.384615384615,0.0191044430745383,0.00131183842445163,37,0.00227749726467297,0.00183534805933235,0.451240899564984,0.000591955150733466
7,"bare_fallow",0.07,20,4244,-28.69,500,90,0.126,264,2,FALSE,4924800,1368,57,465.384615384615,0.0191044430745383,0.0108105675211121,38,0.0409491193981519,0.0181682674592586,0.268658589204537,0.00290435181872237
7,"bare_fallow",0.07,20,4494,-29.45,500,90,0.126,188,3,FALSE,5601600,1556,64.8333333333333,465.384615384615,0.0191044430745383,0.0114473822902634,39,0.0608903313311881,0.0181682674592586,0.268658589204537,0.00307543757618716
7,"bare_fallow",0.07,35,3752.5,-27.13,500,90,0.126,44,4,FALSE,6019800,1672,69.6666666666667,465.384615384615,0.0191044430745383,0.00955858968496068,40,0.217240674658197,0.0715085268130615,0.317738164069154,0.00303712873758976
7,"bare_fallow",0.07,5,3409.88,-26.89,500,90,0.126,1772,5,FALSE,12857640,3572,148.833333333333,465.384615384615,0.0191044430745383,0.00868584778013424,41,0.00490171996621571,0.00183534805933235,0.451240899564984,0.00391940976579229
7,"bare_fallow",0.07,35,21917.5,-27.24,500,90,0.126,199,6,FALSE,13801140,3834,159.75,465.384615384615,0.0191044430745383,0.0558295508114925,42,0.280550506590415,0.0715085268130615,0.317738164069154,0.0177391789756492
7,"bare_fallow",0.07,20,4411.6,-26.66,500,90,0.126,187,7,FALSE,15791580,4387,182.791666666667,465.384615384615,0.0191044430745383,0.0112374881423511,43,0.0600935194778134,0.0181682674592586,0.268658589204537,0.00301904771052676
8,"bare_fallow",0.07,5,206,NA,500,90,0.126,72,1,FALSE,1332000,370,15.4166666666667,465.384615384615,0.0191044430745383,0.000524735369780653,44,0.00728799124695351,0.00183534805933235,0.451240899564984,0.000236782060293386
8,"bare_fallow",0.07,5,458,-24.45,500,90,0.126,576,2,FALSE,4356000,1210,50.4166666666667,465.384615384615,0.0191044430745383,0.00116664465708514,45,0.00202542475188393,0.00183534805933235,0.451240899564984,0.000526437784535782
