sample,site,moist_grav,temp,preinc_start,preinc_end,inc_start,inc_end,CO2,C13,flask_vol,dry_soil
8,bare_fallow,7,5,27/07/11 16:10,02/08/11 00:00,02/08/11 00:00,14/10/11 19:49,2807.49,-27.07,500,90
8,bare_fallow,7,35,14/10/11 19:49,17/10/11 11:00,17/10/11 11:00,18/10/11 17:46,1752.99,-26.42,500,90
8,bare_fallow,7,35,18/10/11 17:46,18/10/11 00:00,18/10/11 00:00,25/10/11 17:47,9715.43,-27.35,500,90
8,bare_fallow,7,20,25/10/11 17:47,10/11/11 00:00,10/11/11 00:00,17/11/11 18:44,3879.78,-26.57,500,90
9,bare_fallow,7,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,99,,500,90
9,bare_fallow,7,5,19/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,613.5,-25.49,500,90
9,bare_fallow,7,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,7662,-29.93,500,90
9,bare_fallow,7,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 20:00,7235,-29.63,500,90
9,bare_fallow,7,35,22/07/11 20:00,25/07/11 20:20,25/07/11 20:20,27/07/11 16:10,5291,-27.18,500,90
9,bare_fallow,7,5,27/07/11 16:10,02/08/11 00:00,02/08/11 00:00,14/10/11 19:22,4028.8,-26.17,500,90
9,bare_fallow,7,35,14/10/11 19:22,17/10/11 11:00,17/10/11 11:00,18/10/11 16:21,3339.71,-27.11,500,90
9,bare_fallow,7,35,18/10/11 16:21,18/10/11 00:00,18/10/11 00:00,25/10/11 17:19,19465.84,-27.54,500,90
9,bare_fallow,7,20,25/10/11 17:19,10/11/11 00:00,10/11/11 00:00,17/11/11 18:51,6585.02,-26.95,500,90
10,bare_fallow,9,5,19/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,730,-26.25,500,90
10,bare_fallow,9,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,11665,-30.19,500,90
10,bare_fallow,9,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 19:00,7521,-29.65,500,90
10,bare_fallow,9,35,22/07/11 19:00,25/07/11 20:20,25/07/11 20:20,27/07/11 16:10,3871.5,-26.56,500,90
10,bare_fallow,9,5,27/07/11 16:10,02/08/11 00:00,02/08/11 00:00,14/10/11 19:00,4493.06,-27.19,500,90
10,bare_fallow,9,35,14/10/11 19:00,17/10/11 11:00,17/10/11 11:00,18/10/11 17:41,2235.76,-26.41,500,90
10,bare_fallow,9,35,18/10/11 17:41,18/10/11 00:00,18/10/11 00:00,25/10/11 17:57,11719.13,-27.24,500,90
10,bare_fallow,9,20,25/10/11 17:57,10/11/11 00:00,10/11/11 00:00,17/11/11 18:07,3752.38,-27.4,500,90
11,bare_fallow,9,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,116,,500,90
11,bare_fallow,9,5,19/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,1955.5,-29.44,500,90
11,bare_fallow,9,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,13679,-29.05,500,90
11,bare_fallow,9,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 19:00,4659.5,-28.21,500,90
11,bare_fallow,9,35,22/07/11 19:00,25/07/11 20:20,25/07/11 20:20,27/07/11 16:10,3274,-26.56,500,90
11,bare_fallow,9,5,27/07/11 16:10,02/08/11 00:00,02/08/11 00:00,14/10/11 19:11,3551.12,-27.52,500,90
11,bare_fallow,9,35,14/10/11 19:11,17/10/11 11:00,17/10/11 11:00,18/10/11 16:14,2833.66,-27.28,500,90
11,bare_fallow,9,35,18/10/11 16:14,18/10/11 00:00,18/10/11 00:00,25/10/11 17:27,13657,-27.82,500,90
11,bare_fallow,9,20,25/10/11 17:27,10/11/11 00:00,10/11/11 00:00,17/11/11 18:17,3774.14,-26.39,500,90
12,bare_fallow,9,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,99.15,,500,90
12,bare_fallow,9,5,19/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,535,-25.05,500,90
