par,lower,upper
f_de,0.01,0.05
f_dr,0.05,0.15
f_gr_ref,0.5,0.8
f_ue,0.01,0.05
K_D_ref,50,300
K_U_ref,0.01,10
r_ed_ref,0.0005,0.002
r_md_ref,0.0001,0.0006
V_D_bf,0.1,10
V_D_mz,0.1,10
V_U_ref,0.1,10
