par,value
D_0,6.874499474
E_K,39.60721003
E_d,110.8340061
E_V,122.2655301
f_CD,0.004690567
f_CE,0.004750112
f_CM,0.005133546
f_ep,0.002092208
f_gr_ref,0.713826003
f_mr,0.072120881
K_D_ref,92968.98968
K_U_ref,0.909389321
psi_Rth,17561.16298
r_ed_ref,0.000338982
r_md_ref,0.000442638
V_D_mz,0.100189861
V_D_bf,0.265121031
V_U_ref,1.277567642
