"","x"
"D_0",18.5281318920919
"E_K",57.9036494262793
"E_d",125.674178689495
"E_V",72.6053144652231
"f_CD_bf",8.803846126736e-05
"f_CD_mz",7.49345488169002e-05
"f_CE_bf",0.000168321211254804
"f_CE_mz",0.000220217938543611
"f_CM_bf",0.0413604239018079
"f_CM_mz",0.037113034195264
"f_ep",0.0343204885578904
"f_gr_ref",0.53758357600377
"f_mr",0.180564052307841
"K_D_ref",59343.2570005654
"K_U_ref",19.9951368913184
"psi_Rth",14622.7965217181
"r_ed_ref",0.000171880852049342
"r_md_ref",0.000721990435230828
"V_D_mz",0.199367368236594
"V_D_bf",0.291500062144106
"V_U_ref",0.0149609765223611
