"","x"
"D_0",8.68025209517665
"E_K",56.6041198191319
"E_d",97.5739389311494
"E_V",82.8435464844598
"f_CD_bf",0.00901881809752274
"f_CD_mz",0.0011091514872748
"f_CE_bf",0.00533161492698027
"f_CE_mz",0.0047401024725843
"f_CM_bf",0.00747233279907911
"f_CM_mz",0.00534786355070032
"f_ep",0.00203919109870215
"f_gr_ref",0.720941876570439
"f_mr",0.13862088691276
"K_D_ref",233672.292856744
"K_U_ref",19.5396623078958
"psi_Rth",18587.1353961373
"r_ed_ref",0.000267574695305605
"r_md_ref",0.000395566718171902
"V_D_mz",0.194509372209012
"V_D_bf",0.250037973294747
"V_U_ref",1.16476830683154
