par,lower,upper
D_d0,1,50
D_e0,1,100
E_K,30,140
E_e,30,140
E_V,30,140
f_CD_bf,0.00001,0.001
f_CD_mz,0.00001,0.001
f_CE_bf,0.00001,0.001
f_CE_mz,0.00001,0.001
f_CM_bf,0.001,0.05
f_CM_mz,0.001,0.05
f_ue,0.001,0.05
f_mr,0,0.2
K_D_ref,50,300
K_U_ref,0.001,1
r_ed_ref,0.0001,0.01
r_md_ref,0.00001,0.001
V_D_mz,0.01,1
V_D_bf,0.01,1
V_U_ref,0.001,0.1
