par,lower,upper
D_0,0.1,10
E_d,30,120
E_K,35,120
E_V,80,120
f_CP_bf,0.1,1
f_CP_mz,0.1,1
f_CD_bf,0.00001,0.001
f_CD_mz,0.00001,0.001
f_CE_bf,0.00001,0.001
f_CE_mz,0.00001,0.001
f_CM_bf,0.001,0.1
f_CM_mz,0.001,0.1
f_me,0.01,0.05
f_mr,0.05,0.15
f_gr,0.5,0.8
f_ue,0.01,0.05
K_D_ref,50,300
K_U_ref,0.01,10
psi_Rth,13000,18000
r_ed_ref,0.0005,0.002
r_md_ref,0.0001,0.0006
V_D_ref,0.1,10
V_U_ref,0.1,10
