par,value
D_0,10
E_d,120
E_K,35
E_V,120
f_CP_bf,1
f_CP_mz,1
f_CD_bf,0.0001
f_CD_mz,0.0001
f_CE_bf,0.0001
f_CE_mz,0.0001
f_CM_bf,0.01
f_CM_mz,0.01
f_me,0.01
f_mr,0.1
f_gr,0.65
K_D_ref,100
K_U_ref,0.1
psi_Rth,15000
r_ed_ref,0.001
r_md_ref,0.0003
V_D_ref,1
V_U_ref,1
