"","x"
"D_0",4.60840589052671
"E_K",80.5784615612902
"E_d",38.834403514478
"E_V",127.752687569436
"f_CD_bf",0.00470321204098582
"f_CD_mz",0.000958909395014652
"f_CE_bf",0.00842569937965647
"f_CE_mz",0.0060667935895909
"f_CM_bf",0.0450001386077293
"f_CM_mz",0.00356297426054461
"f_ep",0.00968009600671051
"f_gr_ref",0.706827257809206
"f_mr",0.276190583852986
"K_D_ref",309192.562801661
"K_U_ref",17.7830640635649
"psi_Rth",18826.4444260983
"r_ed_ref",0.000186073162319151
"r_md_ref",0.000420160798905137
"V_D_mz",0.198742952355195
"V_D_bf",0.255461844534181
"V_U_ref",1.91130906232348
