"","x"
"D_0",8.44371631217097
"E_K",48.9830374879585
"E_d",100.176079380896
"E_V",98.3579310097593
"f_CD_bf",0.00469022421761532
"f_CD_mz",0.00898765526528358
"f_CE_bf",0.00898527773279167
"f_CE_mz",0.00835776832358425
"f_CM_bf",0.00120634489421564
"f_CM_mz",0.0013690632753309
"f_ep",0.00188485124326661
"f_gr_ref",0.815291495033697
"f_mr",0.0598348765555609
"K_D_ref",188854.762581443
"K_U_ref",12.8794421950121
"psi_Rth",18379.7497906286
"r_ed_ref",0.000211600989800448
"r_md_ref",0.000488553813616777
"V_D_mz",0.115542204705826
"V_D_bf",0.166691306555145
"V_U_ref",1.86676172109364
