"","x"
"D_0",2.90480330987295
"E_K",65.9650512233999
"E_d",34.0688036552265
"E_V",111.221842557365
"f_CD_bf",0.0422458530335814
"f_CD_mz",0.00431367710830366
"f_CE_bf",0.00649758061306327
"f_CE_mz",0.00769183520618279
"f_CM_bf",0.0271432620545618
"f_CM_mz",0.0459068189052133
"f_ep",0.00892297714544668
"f_gr_ref",0.619889149598261
"f_mr",0.435684856120075
"K_D_ref",380569.023494108
"K_U_ref",18.581823510191
"psi_Rth",18785.1054220528
"r_ed_ref",0.000148357372903435
"r_md_ref",0.00043925194905403
"V_D_mz",0.166548720666015
"V_D_bf",0.261265909668881
"V_U_ref",2.54927626503357
