,x
D_0,1.373
E_e,89.97822301
E_K,79.95422899
E_m,90.15640847
E_V,90.09864894
f_CE_bf,0.00039
f_CE_mz,0.00058
f_gr,0.7
f_mr,0.015
f_ue,0.025
K_D_ref,60
r_ed_ref,0.00017
r_md_ref,0.0012
V_D_bf,0.46
V_D_mz,0.3
V_U_ref,0.09
p1,2.75
p2,1.26
f_CD_bf,7.00E-05
f_CD_mz,9.00E-05
f_CM_bf,0.041
f_CM_mz,0.043
