par,value
D_0,8.7
E_d,97.6
E_K,56.6
E_V,82.8
f_CD_bf,0.009
f_CD_mz,0.0011
f_CE_bf,0.0053
f_CE_mz,0.0047
f_CM_bf,0.0075
f_CM_mz,0.0053
f_CP_bf,1
f_CP_mz,1
f_gr,0.72
f_me,0.002
f_mr,0.14
f_ue,0.01
K_D_ref,233
K_U_ref,19.5
psi_Rth,18500
r_ed_ref,0.00027
r_md_ref,0.0004
V_D_ref,0.22
V_U_ref,1.16
