,x
D_0,18.5354064
E_K,61.29526342
E_d,126.0675622
E_V,88.27031534
f_CD_bf,6.93E-05
f_CD_mz,8.85E-05
f_CE_bf,0.000391486
f_CE_mz,0.000576294
f_CM_bf,0.040991678
f_CM_mz,0.043003203
f_ue,0.024727831
f_gr,0.511931857
f_mr,0.05
K_D_ref,59.71341207
K_U_ref,0.02380028
psi_Rth,14572.87179
r_ed_ref,0.000171029
r_md_ref,0.000568861
V_D_mz,0.190785712
V_D_bf,0.321647316
V_U_ref,0.015545962
