par,value
D_e0,1
E_e,140
E_K,60
E_V,88
f_mr,0.02
f_ue,0.025
K_D_ref,60
K_U_ref,1
r_ed_ref,0.00017
r_md_ref,0.00057
V_D_bf,0.32
V_D_mz,0.19
V_U_ref,0.016
