par,lower,upper
D_e0,0.01,30
E_e,30,140
E_K,30,140
E_V,30,140
f_mr,0,0.2
f_ue,0.001,0.05
K_D_ref,40,300
K_U_ref,0.001,10
r_ed_ref,0.0001,0.01
r_md_ref,0.00001,0.001
V_D_bf,0.01,10
V_D_mz,0.01,10
V_U_ref,0.001,1
