"","x"
"D_0",18.7827290350749
"E_d",123.350989558986
"E_K",57.691301342284
"E_V",84.7989176405333
"f_CD_bf",9.59774129899734e-05
"f_CD_mz",7.12839335644666e-05
"f_CE_bf",0.000193493313282057
"f_CE_mz",0.000310956405463301
"f_CM_bf",0.0453576426938851
"f_CM_mz",0.0434805891524373
"f_gr",0.51662001111711
"f_mr",0.123912990455846
"f_ue",0.0315082159075456
"K_D_ref",57.7916879712205
"K_U_ref",0.0145971243741905
"psi_Rth",15442.3507045227
"r_ed_ref",0.000201409320471858
"r_md_ref",0.000862583502213238
"V_D_bf",0.3273068044774
"V_D_mz",0.187674056970908
"V_U_ref",0.0598392640659344
