par,lower,upper
f_em,0.001,0.05
f_gr_ref,0.5,0.85
f_mr,0.05,0.15
K_D_ref,70000,300000
K_U_ref,1,300
r_ed_ref,0.0002,0.001
r_md_ref,0.0001,0.001
V_D_mz,0.05,1.5
V_D_bf,0.05,1.5
V_U_ref,1,2
